id,average_value1,average_value2
1,0.0368149,26.3
2,0.0404138,23.8333
3,0.0454561,21.1333
4,0.0504316,19
5,0.0562025,16.9667
6,0.0612758,15.5
7,0.0696951,13.5667
8,0.0773549,12.2
9,0.0835093,11.2333
10,0.0959755,9.73333
11,0.104629,8.86667
12,0.1129,8.1
13,0.131234,7
14,0.149524,6.13333
15,0.166217,5.46667
16,0.176601,5.2
17,0.190807,4.76667
18,0.204934,4.46667
19,0.209616,4.36667
20,0.214021,4.2
21,0.236243,4.13333
22,0.26291,4
23,0.264021,3.96667
24,0.264021,3.96667
25,0.308466,3.83333
26,0.308466,3.83333
27,0.308466,3.83333
28,0.308466,3.83333
29,0.309061,3.8
30,0.309061,3.8
31,0.310727,3.76667
32,0.310727,3.76667
33,0.312394,3.73333
34,0.313452,3.66667
35,0.313452,3.66667
36,0.317262,3.53333
37,0.317262,3.53333
38,0.317262,3.53333
39,0.317262,3.53333
40,0.32004,3.5
41,0.32004,3.5
42,0.32004,3.5
43,0.32004,3.5
44,0.324484,3.43333
45,0.324484,3.43333
46,0.328929,3.36667
47,0.328929,3.36667
48,0.328929,3.36667
49,0.328929,3.36667
50,0.328929,3.36667
51,0.330317,3.3
52,0.330317,3.3
53,0.330317,3.3
54,0.330317,3.3
55,0.330317,3.3
56,0.330317,3.3
57,0.330317,3.3
58,0.330317,3.3
59,0.330317,3.3
60,0.330317,3.3
61,0.330317,3.3
62,0.330317,3.3
63,0.330317,3.3
64,0.330317,3.3
65,0.330317,3.3
66,0.330317,3.3
67,0.330317,3.3
68,0.330317,3.3
69,0.330317,3.3
70,0.330317,3.3
71,0.330317,3.3
72,0.330913,3.26667
73,0.335357,3.2
74,0.335357,3.2
75,0.335357,3.2
76,0.335357,3.2
77,0.337262,3.13333
78,0.337262,3.13333
79,0.337262,3.13333
80,0.337262,3.13333
81,0.337262,3.13333
82,0.337262,3.13333
83,0.337262,3.13333
84,0.337262,3.13333
85,0.341706,3.06667
86,0.341706,3.06667
87,0.341706,3.06667
88,0.341706,3.06667
89,0.341706,3.06667
90,0.341706,3.06667
91,0.341706,3.06667
92,0.341706,3.06667
93,0.341706,3.06667
94,0.341706,3.06667
95,0.341706,3.06667
96,0.342817,3.03333
97,0.342817,3.03333
98,0.342817,3.03333
99,0.342817,3.03333
100,0.342817,3.03333
101,0.342817,3.03333
102,0.342817,3.03333
103,0.342817,3.03333
104,0.342817,3.03333
105,0.342817,3.03333
106,0.36504,2.96667
107,0.36504,2.96667
108,0.36504,2.96667
109,0.36504,2.96667
110,0.36504,2.96667
111,0.36504,2.96667
112,0.36504,2.96667
113,0.36504,2.96667
114,0.366944,2.9
115,0.366944,2.9
116,0.366944,2.9
117,0.366944,2.9
118,0.366944,2.9
119,0.366944,2.9
120,0.366944,2.9
121,0.366944,2.9
122,0.366944,2.9
123,0.366944,2.9
124,0.366944,2.9
125,0.375833,2.76667
126,0.375833,2.76667
127,0.375833,2.76667
128,0.375833,2.76667
129,0.375833,2.76667
130,0.375833,2.76667
131,0.375833,2.76667
132,0.375833,2.76667
133,0.375833,2.76667
134,0.375833,2.76667
135,0.398055,2.7
136,0.398055,2.7
137,0.398055,2.7
138,0.398055,2.7
139,0.398055,2.7
140,0.398055,2.7
141,0.398055,2.7
142,0.398055,2.7
143,0.398055,2.7
144,0.398055,2.7
145,0.398055,2.7
146,0.398055,2.7
147,0.398055,2.7
148,0.398055,2.7
149,0.398055,2.7
150,0.398055,2.7
151,0.398055,2.7
152,0.398055,2.7
153,0.398055,2.7
154,0.398055,2.7
155,0.398055,2.7
156,0.398055,2.7
157,0.398055,2.7
158,0.398055,2.7
159,0.398055,2.7
160,0.398055,2.7
161,0.398055,2.7
162,0.398055,2.7
163,0.398055,2.7
164,0.398055,2.7
165,0.398055,2.7
166,0.398055,2.7
167,0.398055,2.7
168,0.398055,2.7
